[1,5]
[9,7]
[6,9]
[5,1]
[481,535,462,447,255,159,197,282,149,481,231,476,553,632,374,181,627,111,427,529,397,253,527,300,251,337,174,617,469,223,658,580,644,7,113,454,585,475,116,501,634,349,599,586,180,419,474,325,171,118,632,65,111,345,606,435,321,581,130,418,205,569,376,531,613,571,17,250,126,240,269,222,360,176,318,122,361,194,455,39,632,458,44,107,582,79,538,624,500,456,377,313,366,322,108,356,284,523,152,68]
[3,2,6,6,3,4,6,10,9,9,9,8,8,10,3,9,7,3,3,3,1,8,9,3,4,2,4,1,4,4,2,6,7,9,8,3,9,9,3,5,3,4,9,10,7,1,8,8,2,6,1,9,5,2,4,6,6,10,4,4,5,2,8,10,6,8,9,7,3,5,1,2,9,4,8,8,5,3,7,9,3,2,8,4,5,2,10,7,6,4,2,9,10,4,8,8,9,8,5,3]
[144,90,387,323,334,653,284,450,560,587,349,647,644,493,328,241,417,516,166,428,38,551,213,491,457,20,335,308,474,295,525,581,315,574,456,259,367,144,70,97,462,456,657,87,558,153,389,225,69,610,259,98,391,593,596,364,442,630,582,235,224,278,57,11,213,196,303,659,282,535,652,594,61,259,273,335,654,472,295,279,533,54,190,604,610,408,257,81,444,640,110,158,85,440,578,224,636,530,17,250]
[2,10,3,3,7,6,4,7,8,6,4,2,3,2,4,6,9,1,4,3,7,6,4,3,9,3,5,5,4,1,9,8,3,4,4,5,3,4,10,5,7,8,1,1,7,7,10,2,5,6,2,4,8,7,6,3,8,10,10,3,6,5,4,3,6,3,6,1,7,7,6,3,8,4,4,8,6,6,7,3,3,6,1,6,4,8,5,5,3,3,8,4,4,5,9,7,5,2,1,5]
[369,309,160,570,550,60,533,397,117,94,195,81,535,374,420,537,655,519,326,255,485,241,273,598,151,55,136,84,517,626,454,422,94,367,466,57,552,520,580,193,437,210,436,530,609,44,162,197,380,34,348,242,229,572,508,223,435,374,654,563,506,154,626,10,5,470,252,578,139,100,554,248,548,147,239,167,456,613,58,306,26,253,73,100,570,45,233,214,633,232,346,59,285,543,393,151,210,177,368,341]
[6,8,4,4,8,6,7,8,5,1,3,6,5,5,3,8,8,4,6,10,4,10,2,5,7,2,8,3,10,6,9,1,9,4,2,8,8,1,1,2,5,9,2,9,1,3,6,4,10,6,9,10,4,5,1,1,8,7,3,4,8,7,10,3,7,5,2,5,2,3,3,8,7,3,2,6,1,4,3,3,7,7,1,8,10,8,10,9,4,5,1,6,8,7,8,3,8,1,6,2]
[12,350,535,276,415,517,416,355,516,367,122,103,447,556,560,233,485,528,540,98,243,578,156,354,444,39,101,183,192,474,28,209,596,651,435,424,69,400,189,91,209,118,558,178,630,89,440,477,332,625,114,147,165,324,162,286,155,46,361,330,64,139,529,103,13,105,34,547,222,354,619,569,25,44,395,514,598,415,156,656,406,171,286,35,129,50,445,56,341,407,127,424,114,385,210,366,485,555,154,524]
[5,1,3,6,9,2,5,3,9,3,3,4,2,4,5,10,3,7,1,5,2,4,4,8,9,6,8,5,8,5,2,6,6,6,7,7,1,10,1,10,9,1,6,10,10,9,8,10,3,9,1,9,9,9,7,8,1,6,5,5,10,3,3,6,2,6,3,5,7,9,9,7,4,8,1,1,3,3,10,7,5,6,4,5,3,3,4,8,2,4,7,8,1,7,2,3,10,9,1,9]
